id,department_id,slug,name
19642,82,rochetaillee,Rochetaillee
26035,94,ribarrouy,Ribarrouy
22370,87,schmittviller,Schmittviller
11057,59,plomodiern,Plomodiern
12326,62,beaumarches,Beaumarches
16639,74,saint-hilaire-de-clisson,Saint-hilaire-de-clisson
35031,118,valleroy-aux-saules,Valleroy-aux-saules
36282,5973,cardo-torgia,Cardo-torgia
36177,125,eragny,Eragny
14116,67,loche-sur-indrois,Loche-sur-indrois
15849,71,yvoy-le-marron,Yvoy-le-marron
29410,101,sainte-helene-71,Sainte-helene
13949,66,saint-hilaire-sur-benaize,Saint-hilaire-sur-benaize
28915,101,bergesserin,Bergesserin
13181,64,saint-chinian,Saint-chinian
17980,78,javols,Javols
29243,101,sennecey-le-grand,Sennecey-le-grand
9710,56,crozes-hermitage,Crozes-hermitage
12220,62,lahitte,Lahitte
10469,57,ande,Ande
26545,95,barthe,Barthe
3606,40,courteranges,Courteranges
7533,51,noiron-sur-seine,Noiron-sur-seine
18367,79,chaze-sur-argos,Chaze-sur-argos
20019,82,ecot-la-combe,Ecot-la-combe
7552,51,tanay,Tanay
19992,82,lanques-sur-rognon,Lanques-sur-rognon
11775,61,baren,Baren
12681,63,cubzac-les-ponts,Cubzac-les-ponts
32965,110,villers-faucon,Villers-faucon
21032,85,mont-devant-sassey,Mont-devant-sassey
34710,118,tignecourt,Tignecourt
10377,57,thuit-simer,Le thuit-simer
25598,93,durtol,Durtol
4588,44,heuland,Heuland
9227,55,osselle,Osselle
3084,39,sieuras,Sieuras
11354,60,souvignargues,Souvignargues
2966,39,bouan,Bouan
26366,94,lahonce,Lahonce
24236,91,saint-ouen-sur-iton,Saint-ouen-sur-iton
12180,62,nougaroulet,Nougaroulet
13990,66,lacs,Lacs
1217,32,trefcon,Trefcon
9673,56,garde-adhemar,La garde-adhemar
31906,108,pecq,Le pecq
26235,94,arrast-larrebieu,Arrast-larrebieu
9496,56,saint-maurice-sur-eygues,Saint-maurice-sur-eygues
31082,106,fesques,Fesques
10162,57,amfreville-la-campagne,Amfreville-la-campagne
29515,102,saint-calez-en-saosnois,Saint-calez-en-saosnois
6244,47,sainte-ramee,Sainte-ramee
1337,33,monetay-sur-allier,Monetay-sur-allier
11222,60,saint-felix-de-pallieres,Saint-felix-de-pallieres
14073,67,veretz,Veretz
31946,108,rolleboise,Rolleboise
35030,118,brechainville,Brechainville
35417,119,saint-denis-89,Saint-denis
20497,84,landecourt,Landecourt
25910,94,bastide-clairence,La bastide-clairence
17728,77,laparade,Laparade
1975,36,saint-sauveur-sur-tinee,Saint-sauveur-sur-tinee
29614,102,saint-pierre-de-cheville,Saint-pierre-de-cheville
21895,87,rozerieulles,Rozerieulles
24615,92,lottinghen,Lottinghen
30375,104,vinzier,Vinzier
6747,49,pescher,Le pescher
17368,76,durbans,Durbans
21001,85,vadelaincourt,Vadelaincourt
11061,59,rosporden,Rosporden
25856,93,aix-la-fayette,Aix-la-fayette
19825,82,dommarien,Dommarien
34730,118,evaux-et-menil,Evaux-et-menil
6679,49,perpezac-le-blanc,Perpezac-le-blanc
14227,67,fondettes,Fondettes
34000,115,treize-vents,Treize-vents
9978,57,epreville-en-lieuvin,Epreville-en-lieuvin
28855,100,charmoille-70,Charmoille
4093,41,saint-gauderic,Saint-gauderic
17196,76,pinsac,Pinsac
14686,68,renage,Renage
11920,61,seilhan,Seilhan
29495,102,cures,Cures
34909,118,menil-en-xaintois,Menil-en-xaintois
22788,89,roeulx,Roeulx
13556,65,saulnieres-35,Saulnieres
12032,61,gouaux-de-larboust,Gouaux-de-larboust
35261,119,appoigny,Appoigny
18939,80,saint-pierre-de-coutances,Saint-pierre-de-coutances
60,31,pirajoux,Pirajoux
21737,87,bambiderstroff,Bambiderstroff
9522,56,pres,Les pres
22852,89,bourbourg,Bourbourg
20389,84,pulney,Pulney
7454,51,chanceaux,Chanceaux
15974,71,menars,Menars
9770,56,barbieres,Barbieres
18252,79,possonniere,La possonniere
7529,51,essey,Essey
14789,68,charancieu,Charancieu
22216,87,cuvry,Cuvry
